"EDR140239";"Textus secundum (1), contulerunt et mensuras prehenderunt Lundqvist, Dollings, Thayer, Crawford, et Toscano (HGP) a. 2014"
"EDR140250";"Textus secundum (1), contulerunt et mensuras prehenderunt Lundqvist, Dollings, Crawford, Thayer, et Toscano (HGP) a. 2014<br>Prope EDR140193"
"EDR140130";"Textus secundum (1), contulerunt et mensuras prehenderunt Beall, Bey IV, McCrory, Opdenhoff, Tomasi, Zimmerman Damer (HGP) a. 2014.<br>Prope EDR143814, EDR143815, EDR143832, EDR143833, EDR144659, EDR144783, EDR144784, EDR147158, et EDR157691<br>"
"EDR140152";"Textus secundum (2), contulerunt et mensuras prehenderunt et emendaverunt (v. 2: suam) Rebman, Rasmussen, Nyhuis, Hicks, Campbell, Helms (HGP) a. 2014. <br>v. 1: tantum HYACINTHUS HIC F possunt legi a. 2014; lat.: 39,0; litt. alt.: 3,0-5,0 secundum (HGP).<br>v. 2: Della Corte apud (1): Verginiae suae s(alutem);  lat.: 24,0; litt. alt.: 2,5 secundum (HGP).<br>v. 2: Varone apud (2) VERGINIAM contulit; SUAM quod in apographo apud (1) videtur, nunc periit. "
"EDR140192";"Textus secundum (1); contulerunt et mensuras prehenderunt Brewer, Handloser, Helms, Maddy, Nyhuis (HGP) a. 2016.  "
"EDR140220";"Textus et mensurae secundum (1), periit (2)"
"EDR140147";"Textus secundum (2), contulerunt et mensuras prehenderunt Clikeman, Damer, Jepsen, MacDonald (HGP) a. 2016. <br>vv. 1-2: II scriptum pro littera E.<br>v. 1: AS non legitur a. 2014. sub verbo CONCLAVE sunt litterae aut vestigia, quae secundum (1) COANA videntur, sed vidimus tantum N.<br>v. 2: [---]LII CONSITONT (2); Della Corte apud (1) [NAVIC]UL(A)E CONVI(C)TORES HERCULANE(N)SES NAV(I)CULAE; Maiuri apud (1) [NAVICULA]RII CONSI(S)TONT. CONSITONT pro CONSISTUNT; HERCULANESES pro HERCULANENSES; NAVCULAE pro NAVICULAE.     "
"EDR140168";"Textus et mensurae secundum (1)"
"EDR140172";"Textus secundum (1) <br>v. 2: II scriptum pro littera E"
"EDR140174";"Textus et mensurae secundum (1); periit.  <br>Contulerunt et non invenerunt Hicks, Rebman, Rasmussen, Nyhuis, Helms (HGP) a. 2014."
